id;processus;origine_action;origine
1;mobile Sleek architectures;Borders logistical;Cotton
2;application Bike;transitional Shoes Concrete;Cape task-force
3;Planner;circuit IB Car;Specialist
4;Prairie;Leone;connect
5;Cambridgeshire Tactics B2C;Buckinghamshire;reintermediate Technician Investment Account
6;Gorgeous Concrete Bike;lavender;Frozen
7;SAS overriding;Dynamic Kids;XML
8;Global;pixel cyan Platinum;virtual concept Granite
9;sky blue wireless connect;partnerships;copying benchmark Iowa
10;Team-oriented firmware Auto Loan Account;Games Handcrafted Technician;lavender
