id;date;buisness_unit;unite_travail;danger;risque;competence;situation;frequence;duree_exposition;coefficient_maitrise;gravite;criticite;maitrise_existante;origine
1;2021-03-02;neural-net;COM Integrated;Kazakhstan;digital;South Dakota;Urgence;ONE;THREE;FIVE;THREE;39014;Assurance paradigms;input implement
2;2021-03-02;holistic array;Loop;Concrete Marketing Minnesota;hacking Washington;global;Anormale;FIVE;FOUR;FOUR;THREE;59229;Proactive driver;scalable Sleek Soft Computer Forward
3;2021-03-02;Handmade Granite Mouse Dynamic;scalable Generic;invoice;Kids collaborative;Infrastructure backing up;Anormale;FOUR;ONE;FOUR;TWO;33799;Granite;Soft Future
4;2021-03-02;Chair;Kwacha B2B;navigating;Savings Account Small;support Intranet;Urgence;ONE;ONE;TWO;THREE;48628;Accounts;Generic matrix Bacon
5;2021-03-02;compressing quantifying Analyst;Automotive;Persistent 1080p human-resource;Global driver;withdrawal;Urgence;THREE;FOUR;THREE;TWO;50836;JSON;experiences back-end invoice
6;2021-03-02;Wooden Garden;fuchsia digital;Minnesota;markets;deposit;Anormale;ONE;FIVE;FOUR;FIVE;88482;capacity;Arizona
7;2021-03-02;expedite Iceland Krona synthesizing;magenta zero administration;executive;Macedonia;Automotive Incredible Granite Hat;Anormale;ONE;TWO;THREE;ONE;92416;real-time;Table syndicate
8;2021-03-02;Morocco JBOD;auxiliary Practical Plastic Gloves;bypassing purple Platinum;compressing;Salad capacitor Director;Anormale;FIVE;FIVE;ONE;ONE;25527;Sleek Pitcairn Islands radical;Rustic Cotton Tuna Intelligent
9;2021-03-02;program HTTP monitor;PCI;Island;interface Industrial Music;user-centric Chief;Urgence;ONE;THREE;THREE;FIVE;59681;bandwidth facilitate;Bypass protocol internet solution
10;2021-03-02;Steel benchmark United States of America;visionary Borders Clothing;multimedia override expedite;tangible;Technician e-enable Street;Anormale;FOUR;TWO;ONE;TWO;66700;Metal Investment Account;Technician Indian Rupee Ngultrum
