id;date_identification;description;cause_potentielle;effet_potentiel;type;gravite;probabilite;criticite;traitement;commentaire;origine
1;2021-03-02;Money Market Account Generic Wooden Hat gold;Re-contextualized Seamless;mobile Trail Fish;MENACE;FIVE;ONE;15066;A_TRANSFERER;Liaison invoice;azure
2;2021-03-02;orchestrate matrix Tasty Cotton Chips;Group compelling;engage THX;MENACE;FOUR;THREE;71358;ACCEPTE;Awesome Fresh Cheese;Ergonomic
3;2021-03-02;Rwanda;Refined Wooden Shirt Borders stable;program value-added Metal;OPPORTUNITE;TWO;FOUR;68870;REFUSE;Dynamic Keyboard program;projection Markets microchip
4;2021-03-02;override Bridge;Corporate JSON Computer;interface mint green;MENACE;TWO;ONE;75048;A_TRANSFERER;networks;tan
5;2021-03-02;Unbranded;Boliviano Mvdol;Terrace;MENACE;ONE;THREE;4040;ACCEPTE;Panama interactive;copy
6;2021-03-02;Moroccan Dirham Concrete synergies;Legacy;Brunei Dollar optical strategic;MENACE;FIVE;THREE;52831;ACCEPTE;Handmade United States of America connect;Forward
7;2021-03-02;parse;Cotton Savings Account;Director Quality;OPPORTUNITE;THREE;FIVE;95610;REFUSE;Bike background;hack
8;2021-03-02;Gloves COM;Tasty;Corporate;MENACE;THREE;FIVE;13372;ACCEPTE;Legacy;bypassing utilize success
9;2021-03-02;Representative asynchronous;Keyboard synthesize;implement Coordinator Berkshire;MENACE;FIVE;FIVE;57130;REFUSE;strategic;Cambridgeshire Granite Chicken
10;2021-03-02;PCI deposit;Refined Fresh Salad Generic;Re-contextualized white blue;OPPORTUNITE;ONE;TWO;71064;ACCEPTE;Alabama Illinois;withdrawal Object-based
