id;date;axe_politique_qse;objectif_qse;vigueur
1;2021-03-02;gold Norway Alaska;Nebraska Intelligent Frozen Pants Intelligent Metal Pizza;false
2;2021-03-02;hacking;Operative synthesize;false
3;2021-03-02;hub Shirt;program;false
4;2021-03-02;Lead Industrial Handcrafted Fresh Tuna;Tasty;false
5;2021-03-02;Cote d'Ivoire Bedfordshire;Executive driver Buckinghamshire;false
6;2021-03-02;vortals deposit;vertical Regional Multi-layered;true
7;2021-03-02;quantifying;solid state seize;false
8;2021-03-02;Handmade Frozen Soap;Profound Wooden bandwidth;true
9;2021-03-02;RAM;index haptic;false
10;2021-03-02;Money Market Account matrix Operative;Refined Sleek Bulgarian Lev;true
