id;date_identification;indicateur;formule_calcul;cible;seuil_tolerance;unite;periodicite;responsable_calcul;observations;vigueur
1;2021-03-02;Metal Multi-tiered Executive;Meadow;16544;15891;Wooden Tuna e-tailers;Principal integrate;Investor Small Cedi;program Dynamic;true
2;2021-03-02;Unbranded Fresh Sausages zero administration magnetic;array invoice navigating;76554;46065;Handmade Frozen Towels;web services bandwidth;Kroon;Principal best-of-breed e-business;true
3;2021-03-02;Music;East Caribbean Dollar Keys Handmade Cotton Pizza;99223;99679;Table Checking Account;Parks Borders FTP;Savings Account;Buckinghamshire Monaco;false
4;2021-03-02;deposit payment e-enable;AI;6111;53622;hacking;Dobra Cambridgeshire User-friendly;Metal;enhance Borders Parkway;true
5;2021-03-02;Cambridgeshire 24 hour;calculate Awesome US Dollar;62246;39600;Kwacha synergize collaboration;integrated innovate Direct;European Unit of Account 9(E.U.A.-9);sensor Hat engineer;false
6;2021-03-02;XML Generic Dynamic;tertiary Christmas Island quantifying;96896;83260;Frozen Web collaborative;front-end;black Computer applications;calculating;false
7;2021-03-02;Pass;Unbranded hacking;43220;78014;Baby;e-enable Mississippi Montana;Director installation Granite;feed;false
8;2021-03-02;solid state redundant;Handcrafted Wooden Shoes card;74981;29283;Solomon Islands Dollar;Chicken;schemas Sleek;white Home Loan Account;true
9;2021-03-02;Toys index;productize;10515;76716;technologies Fish;Personal Loan Account Investor Investment Account;Human;Cambridgeshire integrate;true
10;2021-03-02;Switzerland;primary;86529;82160;Security connecting;frictionless violet Arkansas;Personal Loan Account;SMTP back up Sleek;true
