id;date;business_unit;activite;aspect_environnemental;impact_environnemental;competences_requises;situation;frequence;sensibilite_milieu;coefficient_maitrise;gravite;criticite;maitrise_existante;origine
1;2021-03-02;integrate Wooden;users;Wooden;compelling Metrics;transmit;Anormale;FIVE;THREE;TWO;TWO;2030;navigate transmitting digital;ROI
2;2021-03-02;Springs Generic;Kazakhstan ability Principal;cross-media Dynamic;TCP Tala Brunei Darussalam;Cayman Islands Montana;Anormale;THREE;TWO;TWO;TWO;53580;reboot;ADP Cotton
3;2021-03-02;pixel;composite South Dakota;Technician algorithm pixel;blue pink Gorgeous Granite Shoes;reboot cross-platform;Normale;ONE;ONE;TWO;FIVE;54238;Latvia North Carolina primary;XSS
4;2021-03-02;invoice Sausages;Markets;Tasty Wyoming Fresh;Electronics Cyprus input;Fully-configurable Berkshire Indiana;Anormale;FOUR;FOUR;FOUR;THREE;15286;Wooden;payment
5;2021-03-02;bricks-and-clicks;Berkshire program;quantifying Rustic Concrete Mouse;orchid;Island open-source;Urgence;ONE;ONE;FIVE;ONE;5456;JBOD;compressing
6;2021-03-02;Licensed Metal Chicken THX;Avon;Fantastic Plastic Shoes Unbranded Cotton Pizza;Utah Brand auxiliary;Home Loan Account Security;Urgence;ONE;THREE;FOUR;ONE;72999;Avon;mobile Buckinghamshire SAS
7;2021-03-02;Rustic Frozen Pants Wyoming open-source;JSON Product;backing up Unbranded Investor;District Forward Investment Account;Streets Poland system;Normale;FOUR;FOUR;TWO;THREE;11239;black Plaza Fantastic Fresh Chicken;Branding Director
8;2021-03-02;Horizontal Industrial Pennsylvania;solution Mouse Checking Account;Wooden;Licensed Soft Shirt Quetzal invoice;Toys Usability convergence;Anormale;THREE;TWO;FOUR;FIVE;28951;Designer;Intelligent Comoro Franc
9;2021-03-02;Bermudian Dollar (customarily known as Bermuda Dollar) FTP;Steel;Massachusetts panel;online;mindshare Fantastic;Normale;FIVE;FOUR;THREE;FIVE;28385;seamless;Avon
10;2021-03-02;Bacon hack calculate;Consultant Awesome integrate;silver Georgia adapter;Kids interface New Mexico;1080p Branch Tools;Anormale;THREE;ONE;TWO;ONE;23837;Pakistan Rupee infrastructure Norway;transmitting PCI
