id;date;intitule;code;version;type;piece_jointe;piece_jointe_content_type;en_application;appouve
1;2021-03-18;ADP Tanzanian Shilling;Avon 24/7;91237;POLITIQUE;../fake-data/blob/hipster.png;image/png;false;false
2;2021-03-17;parse;neural El Salvador Colon US Dollar;38462;PROECDURE;../fake-data/blob/hipster.png;image/png;true;false
3;2021-03-17;transmit hacking;Intelligent Cotton Car pricing structure Metal;54179;POLITIQUE;../fake-data/blob/hipster.png;image/png;true;true
4;2021-03-18;Distributed;Human Multi-tiered;96516;MANUEL;../fake-data/blob/hipster.png;image/png;true;true
5;2021-03-18;clear-thinking copy;Steel back up envisioneer;2753;AUTRES;../fake-data/blob/hipster.png;image/png;false;false
6;2021-03-18;Personal Loan Account;sensor Uzbekistan turn-key;50858;ENREGISTREMENT;../fake-data/blob/hipster.png;image/png;true;false
7;2021-03-17;Circles;bluetooth;1512;ENREGISTREMENT;../fake-data/blob/hipster.png;image/png;true;true
8;2021-03-18;Unbranded Nevada Checking Account;Tactics payment Checking Account;4558;MANUEL;../fake-data/blob/hipster.png;image/png;true;false
9;2021-03-18;Focused Buckinghamshire;tertiary stable Tuna;19839;ENREGISTREMENT;../fake-data/blob/hipster.png;image/png;false;false
10;2021-03-18;Cameroon Awesome Concrete Bike Bulgarian Lev;calculate Persevering;26101;PROECDURE;../fake-data/blob/hipster.png;image/png;false;false
