id;date_identification;pi_pertinentes;pertinente;prise_en_charge;afficher
1;2021-03-02;Belarussian Ruble Accounts Checking Account;true;false;false
2;2021-03-02;architectures;false;false;false
3;2021-03-02;Pants;false;true;false
4;2021-03-02;Ergonomic Wooden Bike;true;true;true
5;2021-03-02;Granite Nigeria;false;false;false
6;2021-03-02;tan haptic challenge;true;false;true
7;2021-03-02;zero tolerance Credit Card Account Ohio;false;true;true
8;2021-03-02;synthesize composite;true;true;false
9;2021-03-02;Maryland;false;false;true
10;2021-03-02;throughput;false;false;false
