id;processus;audit;constat;type;origine
1;dedicated Automotive;bypassing Virginia;clear-thinking;matrix interface;PCI Avon
2;visionary Global Armenia;Corners Sleek Frozen Mouse;e-tailers Gorgeous Rubber Fish transmit;6th generation;Cheese
3;Leone sticky;Tactics;structure Functionality payment;Metrics Solutions;Pennsylvania North Korean Won infomediaries
4;e-business;Borders Maryland;cutting-edge deposit;Generic Rubber Pants;Pre-emptive Small
5;Corporate SQL Bulgaria;Bacon;circuit;Sharable invoice mobile;Investment Account
6;Rustic Wooden Tuna Operations Human;compelling Cape Verde analyzing;Reduced gold circuit;Unbranded compressing;interactive Granite Naira
7;iterate;bandwidth;Nakfa mindshare Shoes;Ergonomic Frozen Chicken turquoise;Handcrafted Metal Gloves
8;1080p PNG;CSS transmitting Refined;FTP multi-state;Marketing algorithm Group;24/7 Industrial
9;Chief North Dakota;methodical Steel;engage Auto Loan Account;Persevering Bulgarian Lev;Engineer Direct
10;Money Market Account;ivory;Metal magnetic;United States of America;optimizing Beauty
