id;processus;date;version;finalite;fiche;fiche_content_type;type
1;Uganda quantify initiatives;2021-03-02;20071;end-to-end;../fake-data/blob/hipster.png;image/png;Buckinghamshire Mall Health
2;Corporate;2021-03-02;31498;Function-based Granite Chips;../fake-data/blob/hipster.png;image/png;Auto Loan Account open-source AI
3;Tools;2021-03-02;80818;Progressive firewall;../fake-data/blob/hipster.png;image/png;Global impactful
4;indigo bricks-and-clicks;2021-03-01;46329;quantifying;../fake-data/blob/hipster.png;image/png;Designer withdrawal
5;deposit Knoll;2021-03-02;33496;Flat connecting;../fake-data/blob/hipster.png;image/png;partnerships
6;Product withdrawal;2021-03-01;85195;Circle;../fake-data/blob/hipster.png;image/png;connect Checking Account Investor
7;Estonia Future;2021-03-02;58170;backing up Music Bedfordshire;../fake-data/blob/hipster.png;image/png;hack Kip
8;Regional copy;2021-03-02;98755;national deliver deposit;../fake-data/blob/hipster.png;image/png;payment index Brand
9;matrix Administrator;2021-03-01;81945;Avon Lead;../fake-data/blob/hipster.png;image/png;Syrian Pound
10;Slovakia (Slovak Republic) interfaces;2021-03-02;55679;adapter payment COM;../fake-data/blob/hipster.png;image/png;Solutions
