id;date;description;causes_potentielles;origine
1;2021-03-02;Savings Account Forward;Fish Handmade;Pakistan mission-critical
2;2021-03-02;ROI Unbranded Chips;infrastructures whiteboard olive;Sausages
3;2021-03-02;Hat Awesome Wooden Shirt redefine;Gorgeous Buckinghamshire niches;Belize Dollar
4;2021-03-02;Tools Practical Metal Gloves;digital;Table
5;2021-03-02;Buckinghamshire pixel;Agent tertiary invoice;alarm Marketing
6;2021-03-02;radical solutions;generating;platforms deposit cross-platform
7;2021-03-02;e-business Money Market Account Uzbekistan;indexing Money Market Account Savings Account;panel vortals
8;2021-03-02;Frozen Mews lime;invoice clicks-and-mortar;program
9;2021-03-02;Pennsylvania;payment Comoro Franc;Checking Account Dynamic deposit
10;2021-03-02;Infrastructure Equatorial Guinea;open-source;bypassing Ball Soft
