id;date_audit;type_audit;auditeur;standard;statut;conclusion
1;2021-03-18;Externe;Consultant application Auto Loan Account;ISO45001;REALISE;copying
2;2021-03-18;Interne;Texas Latvian Lats;ISO14001;Retard;regional
3;2021-03-17;Externe;Jewelery Chair Gorgeous Fresh Sausages;ISO14001;REALISE;Virgin Islands, British Virgin Islands, British
4;2021-03-17;Interne;portals Berkshire sky blue;ISO9001;Retard;bus River Brand
5;2021-03-17;Interne;indexing;ISO45001;REALISE;Berkshire Expressway deposit
6;2021-03-17;Interne;US Dollar Developer;ISO14001;REALISE;Administrator
7;2021-03-18;Interne;port Ranch discrete;ISO14001;REALISE;transmitting Bedfordshire Cambridgeshire
8;2021-03-17;Externe;Plaza array Planner;ISO14001;REALISE;Checking Account Gorgeous
9;2021-03-17;Externe;Intranet;ISO45001;Retard;Cuban Peso Peso Convertible Functionality withdrawal
10;2021-03-17;Externe;Cambridgeshire holistic rich;ISO14001;PLANIFIE;Pants
