id;date_planification;action;type;delai;avancement;realisee;critere_resultat;ressources_necessaires;statut;efficace
1;2021-03-02;Intranet collaborative;TRAITEMENT_RAPIDE;2021-03-02;Hat Bedfordshire Unbranded;true;Plastic Music Electronics;Rufiyaa Customer;REALISEE_NON_EFFICACE;EFFICACE
2;2021-03-02;bypass;TRAITEMENT_RAPIDE;2021-03-02;strategize Garden;false;cyan Personal Loan Account RAM;Refined Corporate Sharable;EN_COURS;NON_EFFICACE
3;2021-03-02;Division;PROGRAMME_SST;2021-03-02;Branding parse holistic;true;parse;deposit Mouse Michigan;REALISEE_NON_EFFICACE;A_EVALUER
4;2021-03-02;Configuration;PROJET_ENTITE;2021-03-02;Utah;true;Skyway Home Loan Account;out-of-the-box mobile;EN_COURS;EFFICACE
5;2021-03-02;auxiliary;ACTION_FACE_AU_RISQUE;2021-03-02;Jewelery;true;Iraq Enhanced Practical;redundant New Mexico Paradigm;REALISEE_EFFICACE;A_EVALUER
6;2021-03-02;purple Interactions backing up;ACTION_CORRECTIVE;2021-03-02;Awesome;true;Secured;Minnesota;PLANIFIEE;NON_EFFICACE
7;2021-03-02;generating Towels;ACTION_FACE_AU_RISQUE;2021-03-02;interfaces reboot deposit;true;Kwanza;Manager;REALISEE_EFFICACE;NON_EFFICACE
8;2021-03-02;Switchable scale;AUTRES;2021-03-02;Cayman Islands Dollar;true;Borders lime;Interactions copy Rubber;REALISEE_EFFICACE;NON_EFFICACE
9;2021-03-02;programming Soap Health;ACTION_CORRECTIVE;2021-03-02;Ball;true;ADP Iceland Krona;Ergonomic Cambridgeshire;RETARD;EFFICACE
10;2021-03-02;Incredible bus;ACTION_FACE_AU_RISQUE;2021-03-02;Generic Wooden Chair withdrawal;true;Cotton whiteboard;dynamic;REALISEE_A_EVALUER;A_EVALUER
